areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,2020-07-05,2
E06000023,"Bristol, City of",ltla,2020-07-04,1
E06000023,"Bristol, City of",ltla,2020-07-03,0
E06000023,"Bristol, City of",ltla,2020-07-02,2
E06000023,"Bristol, City of",ltla,2020-07-01,3
E06000023,"Bristol, City of",ltla,2020-06-30,0
E06000023,"Bristol, City of",ltla,2020-06-29,3
E06000023,"Bristol, City of",ltla,2020-06-28,0
E06000023,"Bristol, City of",ltla,2020-06-27,1
E06000023,"Bristol, City of",ltla,2020-06-26,2
E06000023,"Bristol, City of",ltla,2020-06-25,0
E06000023,"Bristol, City of",ltla,2020-06-24,4
E06000023,"Bristol, City of",ltla,2020-06-23,3
E06000023,"Bristol, City of",ltla,2020-06-22,0
E06000023,"Bristol, City of",ltla,2020-06-21,0
E06000023,"Bristol, City of",ltla,2020-06-20,1
E06000023,"Bristol, City of",ltla,2020-06-19,0
E06000023,"Bristol, City of",ltla,2020-06-18,3
E06000023,"Bristol, City of",ltla,2020-06-17,3
E06000023,"Bristol, City of",ltla,2020-06-16,2
E06000023,"Bristol, City of",ltla,2020-06-15,0
E06000023,"Bristol, City of",ltla,2020-06-14,2
E06000023,"Bristol, City of",ltla,2020-06-13,4
E06000023,"Bristol, City of",ltla,2020-06-12,2
E06000023,"Bristol, City of",ltla,2020-06-11,5
E06000023,"Bristol, City of",ltla,2020-06-10,3
E06000023,"Bristol, City of",ltla,2020-06-09,4
E06000023,"Bristol, City of",ltla,2020-06-08,3
E06000023,"Bristol, City of",ltla,2020-06-07,4
E06000023,"Bristol, City of",ltla,2020-06-06,9
E06000023,"Bristol, City of",ltla,2020-06-05,8
E06000023,"Bristol, City of",ltla,2020-06-04,10
E06000023,"Bristol, City of",ltla,2020-06-03,4
E06000023,"Bristol, City of",ltla,2020-06-02,12
E06000023,"Bristol, City of",ltla,2020-06-01,5
E06000023,"Bristol, City of",ltla,2020-05-31,12
E06000023,"Bristol, City of",ltla,2020-05-30,4
E06000023,"Bristol, City of",ltla,2020-05-29,11
E06000023,"Bristol, City of",ltla,2020-05-28,26
E06000023,"Bristol, City of",ltla,2020-05-27,32
E06000023,"Bristol, City of",ltla,2020-05-26,5
E06000023,"Bristol, City of",ltla,2020-05-25,3
E06000023,"Bristol, City of",ltla,2020-05-24,10
E06000023,"Bristol, City of",ltla,2020-05-23,1
E06000023,"Bristol, City of",ltla,2020-05-22,9
E06000023,"Bristol, City of",ltla,2020-05-21,9
E06000023,"Bristol, City of",ltla,2020-05-20,13
E06000023,"Bristol, City of",ltla,2020-05-19,19
E06000023,"Bristol, City of",ltla,2020-05-18,9
E06000023,"Bristol, City of",ltla,2020-05-17,6
E06000023,"Bristol, City of",ltla,2020-05-16,7
E06000023,"Bristol, City of",ltla,2020-05-15,2
E06000023,"Bristol, City of",ltla,2020-05-14,11
E06000023,"Bristol, City of",ltla,2020-05-13,4
E06000023,"Bristol, City of",ltla,2020-05-12,8
E06000023,"Bristol, City of",ltla,2020-05-11,17
E06000023,"Bristol, City of",ltla,2020-05-10,26
E06000023,"Bristol, City of",ltla,2020-05-09,10
E06000023,"Bristol, City of",ltla,2020-05-08,18
E06000023,"Bristol, City of",ltla,2020-05-07,15
