time,open,high,low,close,volume
2021-10-21 19:15:00,128.7,128.8,128.66,128.66,2271
2021-10-21 19:00:00,128.45,128.69,128.44,128.66,2565
2021-10-21 18:45:00,128.55,128.55,128.45,128.45,1838
2021-10-21 18:30:00,128.46,128.66,128.46,128.64,1427
2021-10-21 18:15:00,128.51,128.5199,128.49,128.49,2659
2021-10-21 18:00:00,128.51,128.66,128.5,128.55,4348
2021-10-21 17:45:00,128.5,128.57,128.4601,128.57,2068
2021-10-21 17:30:00,128.6499,128.65,128.58,128.58,4833
2021-10-21 17:15:00,128.8,128.8,128.56,128.61,4748
2021-10-21 17:00:00,128.65,128.8,128.6,128.8,9713
2021-10-21 16:45:00,128.56,128.68,128.5,128.65,9128
2021-10-21 16:30:00,128.7,129.1992,128.35,128.65,49250
2021-10-21 16:15:00,128.33,129.26,128.3,128.75,506161
2021-10-21 16:00:00,128.415,128.69,128.1,128.31,2303861
2021-10-21 15:45:00,129.735,129.77,128.41,128.415,1246832
2021-10-21 15:30:00,129.415,129.95,129.4001,129.735,692032
2021-10-21 15:15:00,129.32,129.6,129.17,129.415,606998
2021-10-21 15:00:00,129.6025,129.7,129.27,129.29,598802
2021-10-21 14:45:00,129.499,129.86,129.48,129.5898,705814
2021-10-21 14:30:00,129.07,129.51,129.0,129.49,743247
2021-10-21 14:15:00,129.05,129.12,128.86,129.07,693367
2021-10-21 14:00:00,129.2484,129.28,128.97,129.045,685539
2021-10-21 13:45:00,129.45,129.5,129.15,129.235,803018
2021-10-21 13:30:00,129.8189,129.83,129.38,129.445,800390
2021-10-21 13:15:00,130.025,130.04,129.76,129.805,950623
2021-10-21 13:00:00,130.13,130.3,129.98,130.025,1029948
2021-10-21 12:45:00,130.3,130.37,129.91,130.13,866667
2021-10-21 12:30:00,130.08,130.3624,129.92,130.29,1258479
2021-10-21 12:15:00,130.31,130.42,130.05,130.08,913078
2021-10-21 12:00:00,130.65,130.7,130.25,130.32,1052966
2021-10-21 11:45:00,130.9304,130.99,130.52,130.6449,964452
2021-10-21 11:30:00,131.3501,131.3501,130.89,130.9301,900393
2021-10-21 11:15:00,131.18,131.39,131.04,131.365,821533
2021-10-21 11:00:00,131.3,131.5299,131.13,131.17,888409
2021-10-21 10:45:00,131.6232,131.7,131.14,131.3,1335086
2021-10-21 10:30:00,131.84,131.96,131.49,131.65,1370662
2021-10-21 10:15:00,132.04,132.3849,131.6,131.86,1450974
2021-10-21 10:00:00,132.479,132.72,131.9,132.0388,2134327
2021-10-21 09:45:00,133.51,133.72,132.15,132.44,3475318
2021-10-21 09:30:00,134.5,135.45,133.27,133.29,187024
2021-10-21 09:15:00,134.28,134.81,134.07,134.49,54748
2021-10-21 09:00:00,134.8275,134.9,134.21,134.29,36222
2021-10-21 08:45:00,134.57,134.9,134.5,134.9,52283
2021-10-21 08:30:00,134.4,134.75,134.24,134.7,63404
2021-10-21 08:15:00,135.0501,135.4,134.1501,134.3,68224
2021-10-21 08:00:00,134.8,134.8,134.06,134.4,42545
2021-10-21 07:45:00,135.0,135.14,134.82,134.82,8355
2021-10-21 07:30:00,135.18,135.18,134.8,135.0,14327
2021-10-21 07:15:00,135.25,135.4,135.15,135.15,10963
2021-10-21 07:00:00,135.0,135.05,135.0,135.0,2451
2021-10-21 06:45:00,135.15,135.15,135.1,135.1,1103
2021-10-21 06:15:00,135.08,135.08,135.08,135.08,448
2021-10-21 05:45:00,135.25,135.25,135.25,135.25,368
2021-10-21 05:30:00,135.35,135.35,135.28,135.28,1729
2021-10-21 05:15:00,135.5,135.5,135.5,135.5,2280
2021-10-21 05:00:00,135.5,135.5,135.5,135.5,252
2021-10-21 04:45:00,135.5,135.5,135.5,135.5,277
2021-10-20 20:00:00,135.75,135.93,135.75,135.85,8882
2021-10-20 19:45:00,135.75,135.85,135.7,135.8,6655
2021-10-20 19:30:00,135.93,135.93,135.66,135.66,3688
2021-10-20 19:15:00,135.94,135.98,135.8,135.9299,4145
2021-10-20 19:00:00,135.9999,136.02,135.94,135.95,12010
2021-10-20 18:45:00,135.99,136.05,135.95,136.0,8931
2021-10-20 18:30:00,135.85,136.0,135.85,135.99,29967
2021-10-20 18:15:00,135.65,135.9,135.65,135.9,10108
2021-10-20 18:00:00,136.05,136.25,135.55,135.74,24344
2021-10-20 17:45:00,135.27,136.4,135.0,136.23,76626
2021-10-20 17:30:00,135.42,135.43,134.91,135.25,74436
2021-10-20 17:15:00,135.4,135.44,135.25,135.42,62643
2021-10-20 17:00:00,135.01,135.45,134.98,135.4,98576
2021-10-20 16:45:00,135.45,141.9,134.9,135.04,143152
2021-10-20 16:30:00,135.01,141.9,134.35,135.5,430411
2021-10-20 16:15:00,141.9,142.42,134.75,135.0,430090
2021-10-20 16:00:00,141.7378,142.1,141.72,141.73,742609
2021-10-20 15:45:00,141.61,141.823,141.58,141.75,270269
2021-10-20 15:30:00,141.83,141.83,141.6039,141.62,171685
2021-10-20 15:15:00,141.82,141.91,141.751,141.82,117139
2021-10-20 15:00:00,141.7,141.82,141.69,141.805,92621
2021-10-20 14:45:00,141.64,141.8,141.6383,141.72,148796
2021-10-20 14:30:00,141.7,141.73,141.53,141.64,93356
2021-10-20 14:15:00,141.66,141.7,141.54,141.695,93374
2021-10-20 14:00:00,141.891,141.891,141.6399,141.6575,88616
2021-10-20 13:45:00,141.87,141.94,141.7813,141.9,83234
2021-10-20 13:30:00,141.9,141.98,141.61,141.885,124399
2021-10-20 13:15:00,141.8593,142.11,141.75,141.9095,205404
2021-10-20 13:00:00,141.8,141.89,141.6301,141.84,146787
2021-10-20 12:45:00,141.8,141.9299,141.7714,141.8,87963
2021-10-20 12:30:00,141.635,141.83,141.62,141.79,81007
2021-10-20 12:15:00,141.31,141.65,141.25,141.64,135553
2021-10-20 12:00:00,141.26,141.37,141.125,141.295,102435
2021-10-20 11:45:00,141.21,141.47,141.11,141.2443,106955
2021-10-20 11:30:00,141.04,141.29,140.94,141.21,136296
2021-10-20 11:15:00,140.87,141.08,140.77,141.05,163911
2021-10-20 11:00:00,141.0302,141.15,140.83,140.86,164782
2021-10-20 10:45:00,141.1,141.12,140.93,141.03,164078
2021-10-20 10:30:00,141.23,141.36,141.01,141.09,155333
2021-10-20 10:15:00,141.09,141.53,141.08,141.2,160907
2021-10-20 10:00:00,140.79,141.35,140.7,141.14,201846
2021-10-20 09:45:00,141.68,142.2,140.78,140.78,323703
2021-10-20 09:30:00,141.99,141.99,141.77,141.77,2150
2021-10-20 09:15:00,142.25,142.25,142.25,142.25,201
2021-10-20 09:00:00,142.2494,142.25,142.24,142.25,881
2021-10-20 08:15:00,142.24,142.38,142.01,142.01,1636
2021-10-20 07:30:00,142.0,142.0,142.0,142.0,400
2021-10-19 20:00:00,142.0,142.0,142.0,142.0,100
2021-10-19 19:30:00,142.2499,142.25,142.2499,142.25,807
2021-10-19 18:30:00,142.25,142.25,142.25,142.25,300
2021-10-19 17:45:00,142.14,142.15,142.14,142.15,400
2021-10-19 17:30:00,142.02,142.02,142.02,142.02,204
2021-10-19 17:00:00,142.49,142.49,142.15,142.15,921
2021-10-19 16:45:00,142.5,142.5,142.5,142.5,217
2021-10-19 16:15:00,141.98,142.48,141.98,142.48,82906
2021-10-19 16:00:00,141.925,142.02,141.81,141.99,376136
2021-10-19 15:45:00,141.94,142.03,141.805,141.92,186567
2021-10-19 15:30:00,141.96,142.0526,141.8544,141.945,103194
2021-10-19 15:15:00,141.77,141.96,141.75,141.95,102370
2021-10-19 15:00:00,141.74,141.8,141.63,141.75,105900
2021-10-19 14:45:00,141.8942,141.92,141.66,141.7338,119391
2021-10-19 14:30:00,142.146,142.195,141.882,141.8923,66819
2021-10-19 14:15:00,142.1499,142.28,142.06,142.17,71325
2021-10-19 14:00:00,142.46,142.48,141.6,142.1415,223555
2021-10-19 13:45:00,142.77,142.77,142.47,142.47,60842
2021-10-19 13:30:00,142.75,142.79,142.63,142.75,101750
2021-10-19 13:15:00,142.6796,142.7821,142.59,142.7574,80451
2021-10-19 13:00:00,142.66,142.75,142.63,142.685,62698
2021-10-19 12:45:00,142.77,142.87,142.63,142.671,124053
2021-10-19 12:30:00,142.9299,142.94,142.735,142.78,112456
2021-10-19 12:15:00,142.63,142.93,142.59,142.92,105178
2021-10-19 12:00:00,142.58,142.71,142.406,142.6596,122034
2021-10-19 11:45:00,142.215,142.62,142.15,142.57,115874
2021-10-19 11:30:00,142.075,142.326,141.92,142.22,145927
2021-10-19 11:15:00,141.97,142.24,141.87,142.13,152478
2021-10-19 11:00:00,142.02,142.08,141.89,141.96,103598
2021-10-19 10:45:00,141.6736,142.09,141.545,142.0181,106567
2021-10-19 10:30:00,141.55,142.12,141.55,141.68,139184
2021-10-19 10:15:00,140.61,141.81,140.61,141.51,204946
2021-10-19 10:00:00,141.07,141.07,140.5201,140.6,190192
2021-10-19 09:45:00,141.08,141.73,140.58,141.05,531325
2021-10-19 09:30:00,141.7,141.7,140.7,140.81,15968
2021-10-19 09:15:00,141.7,141.8,141.5,141.5,10630
2021-10-19 09:00:00,141.57,141.97,141.54,141.78,2906
2021-10-19 08:45:00,141.42,141.59,141.12,141.57,1430
2021-10-19 08:30:00,141.9,141.9,141.4,141.4,3072
2021-10-19 08:15:00,142.6748,142.6748,141.83,141.86,4848
2021-10-19 08:00:00,142.5,142.5,142.5,142.5,217
2021-10-19 07:15:00,142.33,142.33,142.26,142.26,981
2021-10-19 07:00:00,142.65,142.65,142.65,142.65,348
2021-10-19 06:30:00,142.31,142.31,142.31,142.31,200
2021-10-19 05:00:00,142.32,142.32,142.32,142.32,159
2021-10-19 04:45:00,142.3,142.3,142.3,142.3,100
2021-10-19 04:30:00,142.1,142.18,142.1,142.18,1294
2021-10-19 04:15:00,142.1,142.1,142.1,142.1,750
2021-10-18 20:00:00,141.91,141.91,141.8,141.8,425
2021-10-18 19:45:00,141.85,141.85,141.85,141.85,805
2021-10-18 19:30:00,141.86,141.86,141.86,141.86,150
2021-10-18 19:15:00,141.92,141.92,141.92,141.92,200
2021-10-18 19:00:00,141.65,141.7,141.65,141.7,432
2021-10-18 18:45:00,141.75,141.85,141.61,141.64,2695
2021-10-18 18:30:00,141.65,141.7,141.65,141.7,535
2021-10-18 18:15:00,141.6,141.7,141.53,141.7,3588
2021-10-18 18:00:00,142.0,142.0,141.55,141.55,7081
2021-10-18 17:45:00,142.22,142.22,141.95,142.07,2314
2021-10-18 17:30:00,142.02,142.15,142.02,142.15,504
2021-10-18 17:15:00,142.06,142.32,142.05,142.07,45434
2021-10-18 17:00:00,142.02,142.3,142.02,142.03,2478
2021-10-18 16:45:00,142.06,142.14,142.05,142.06,2278
2021-10-18 16:30:00,142.0,142.49,142.0,142.15,3460
2021-10-18 16:15:00,142.32,142.55,142.32,142.35,69886
2021-10-18 16:00:00,142.21,142.59,142.205,142.3,942355
2021-10-18 15:45:00,142.28,142.41,142.18,142.2,191971
2021-10-18 15:30:00,142.33,142.41,142.17,142.28,139435
2021-10-18 15:15:00,142.22,142.3565,142.16,142.33,88278
2021-10-18 15:00:00,142.1788,142.31,142.13,142.21,94398
2021-10-18 14:45:00,142.095,142.22,142.02,142.185,114536
2021-10-18 14:30:00,142.02,142.1,141.834,142.09,131500
2021-10-18 14:15:00,141.86,142.1402,141.759,142.025,289099
2021-10-18 14:00:00,142.07,142.119,141.77,141.87,251673
2021-10-18 13:45:00,142.385,142.47,142.02,142.0401,184615
2021-10-18 13:30:00,142.92,142.98,142.36,142.38,228383
2021-10-18 13:15:00,143.37,143.4015,142.78,142.9299,563477
2021-10-18 13:00:00,144.137,144.17,142.56,143.355,933822
2021-10-18 12:45:00,144.2038,144.3545,144.07,144.14,100645
2021-10-18 12:30:00,144.37,144.4,144.19,144.2,45922
2021-10-18 12:15:00,144.43,144.4922,144.3,144.35,47734
2021-10-18 12:00:00,144.48,144.519,144.3712,144.42,55577
2021-10-18 11:45:00,144.63,144.7,144.4512,144.4747,66459
2021-10-18 11:30:00,144.57,144.94,144.535,144.63,92934
2021-10-18 11:15:00,144.39,144.58,144.33,144.56,98682
2021-10-18 11:00:00,144.75,144.75,144.33,144.392,62374
2021-10-18 10:45:00,144.55,144.77,144.41,144.77,97659
2021-10-18 10:30:00,144.41,144.56,144.28,144.53,107248
2021-10-18 10:15:00,144.14,144.65,144.0901,144.43,192493
2021-10-18 10:00:00,143.69,144.17,143.585,144.125,118294
2021-10-18 09:45:00,144.0,144.07,143.23,143.64,255713
2021-10-18 09:30:00,143.87,143.89,143.79,143.79,1139
2021-10-18 09:15:00,143.75,143.88,143.75,143.78,1478
2021-10-18 09:00:00,143.97,143.97,143.68,143.68,338
2021-10-18 08:45:00,144.0101,144.0101,143.71,143.7397,2694
2021-10-18 08:15:00,144.0,144.25,144.0,144.25,546
2021-10-18 05:30:00,144.2,144.2,144.2,144.2,228
2021-10-15 19:15:00,144.55,144.55,144.55,144.55,636
2021-10-15 18:30:00,144.4,144.4,144.4,144.4,200
2021-10-15 18:15:00,144.6,144.6,144.4001,144.4001,2412
2021-10-15 17:15:00,144.6,144.6,144.6,144.6,150
2021-10-15 16:30:00,144.85,144.85,144.85,144.85,100
2021-10-15 16:15:00,144.61,144.61,144.6,144.6,65671
2021-10-15 16:00:00,144.5401,144.65,144.39,144.61,340735
2021-10-15 15:45:00,144.53,144.57,144.41,144.545,132163
2021-10-15 15:30:00,144.3,144.55,144.27,144.5326,71623
2021-10-15 15:15:00,144.47,144.515,144.21,144.29,80184
2021-10-15 15:00:00,144.51,144.54,144.41,144.485,56479
2021-10-15 14:45:00,144.685,144.685,144.435,144.5156,66543
2021-10-15 14:30:00,144.78,144.85,144.67,144.68,80522
2021-10-15 14:15:00,144.51,144.78,144.51,144.77,85240
2021-10-15 14:00:00,144.39,144.585,144.37,144.51,74162
2021-10-15 13:45:00,144.2764,144.41,144.2764,144.39,45277
2021-10-15 13:30:00,144.19,144.3024,144.11,144.27,86594
2021-10-15 13:15:00,144.15,144.24,144.1,144.2019,45823
2021-10-15 13:00:00,144.21,144.24,144.06,144.14,55670
2021-10-15 12:45:00,144.14,144.275,144.14,144.225,80596
2021-10-15 12:30:00,144.0,144.17,143.98,144.13,61048
2021-10-15 12:15:00,143.94,144.06,143.93,144.01,64677
2021-10-15 12:00:00,143.9,143.99,143.83,143.94,58436
2021-10-15 11:45:00,143.76,143.97,143.75,143.89,68269
2021-10-15 11:30:00,143.76,143.855,143.67,143.77,73155
2021-10-15 11:15:00,144.153,144.175,143.63,143.745,88009
2021-10-15 11:00:00,144.13,144.3,143.94,144.13,90353
2021-10-15 10:45:00,143.895,144.23,143.895,144.15,79448
2021-10-15 10:30:00,144.335,144.475,143.83,143.87,113161
2021-10-15 10:15:00,144.15,144.4,144.0109,144.36,113382
2021-10-15 10:00:00,143.7099,144.28,143.635,144.09,110555
2021-10-15 09:45:00,143.39,144.23,142.79,143.67,413957
2021-10-15 09:30:00,143.83,143.83,143.24,143.24,557
2021-10-15 09:15:00,143.7,143.7,143.7,143.7,1002
2021-10-15 09:00:00,143.71,143.71,143.7,143.7,382
2021-10-15 08:45:00,143.9,143.9,143.9,143.9,274
2021-10-15 08:30:00,143.81,143.81,143.39,143.39,742
2021-10-15 08:15:00,143.51,143.51,143.51,143.51,483
2021-10-15 07:30:00,143.54,143.54,143.52,143.52,249
2021-10-15 04:30:00,143.71,143.71,143.71,143.71,154
2021-10-14 20:00:00,143.46,143.46,143.46,143.46,100
2021-10-14 19:30:00,143.5,143.5,143.5,143.5,111
2021-10-14 19:00:00,143.4,143.4,143.4,143.4,110
2021-10-14 18:00:00,143.4,143.4,142.97,143.0,6124
2021-10-14 17:00:00,143.5,143.5,143.5,143.5,223
2021-10-14 16:15:00,143.39,143.39,143.39,143.39,163807
2021-10-14 16:00:00,143.4,143.51,143.31,143.41,488452
2021-10-14 15:45:00,143.52,143.58,143.25,143.4,182192
2021-10-14 15:30:00,143.76,143.78,143.52,143.53,137951
2021-10-14 15:15:00,143.84,143.92,143.68,143.76,323605
2021-10-14 15:00:00,143.69,143.84,143.62,143.83,199877
2021-10-14 14:45:00,143.56,143.695,143.54,143.68,111100
2021-10-14 14:30:00,143.295,143.56,143.27,143.55,135887
2021-10-14 14:15:00,143.4,143.416,143.27,143.295,82410
2021-10-14 14:00:00,143.15,143.42,143.14,143.41,183532
2021-10-14 13:45:00,143.09,143.25,143.09,143.16,78979
2021-10-14 13:30:00,143.095,143.2,143.01,143.09,88664
2021-10-14 13:15:00,143.29,143.341,143.08,143.08,81658
