areaCode,areaName,areaType,date,newLFDTests
E12000002,North West,region,2021-03-17,169682
E12000002,North West,region,2021-03-16,141495
E12000002,North West,region,2021-03-15,196670
E12000002,North West,region,2021-03-14,98987
E12000002,North West,region,2021-03-13,19932
E12000002,North West,region,2021-03-12,158930
E12000002,North West,region,2021-03-11,180404
E12000002,North West,region,2021-03-10,159027
E12000002,North West,region,2021-03-09,157803
E12000002,North West,region,2021-03-08,193416
E12000002,North West,region,2021-03-07,77550
E12000002,North West,region,2021-03-06,20793
E12000002,North West,region,2021-03-05,87618
E12000002,North West,region,2021-03-04,92115
E12000002,North West,region,2021-03-03,72706
E12000002,North West,region,2021-03-02,50874
E12000002,North West,region,2021-03-01,74895
E12000002,North West,region,2021-02-28,47177
E12000002,North West,region,2021-02-27,15365
E12000002,North West,region,2021-02-26,42662
E12000002,North West,region,2021-02-25,55794
E12000002,North West,region,2021-02-24,58513
E12000002,North West,region,2021-02-23,44708
E12000002,North West,region,2021-02-22,69711
E12000002,North West,region,2021-02-21,49965
E12000002,North West,region,2021-02-20,16297
E12000002,North West,region,2021-02-19,31982
E12000002,North West,region,2021-02-18,34777
E12000002,North West,region,2021-02-17,35635
E12000002,North West,region,2021-02-16,29965
E12000002,North West,region,2021-02-15,41305
E12000002,North West,region,2021-02-14,28686
E12000002,North West,region,2021-02-13,15043
E12000002,North West,region,2021-02-12,41363
E12000002,North West,region,2021-02-11,53272
E12000002,North West,region,2021-02-10,60249
E12000002,North West,region,2021-02-09,43432
E12000002,North West,region,2021-02-08,67009
E12000002,North West,region,2021-02-07,50920
E12000002,North West,region,2021-02-06,17145
E12000002,North West,region,2021-02-05,43319
E12000002,North West,region,2021-02-04,55680
E12000002,North West,region,2021-02-03,64253
E12000002,North West,region,2021-02-02,43727
E12000002,North West,region,2021-02-01,65277
E12000002,North West,region,2021-01-31,49741
E12000002,North West,region,2021-01-30,16656
E12000002,North West,region,2021-01-29,41496
E12000002,North West,region,2021-01-28,50139
E12000002,North West,region,2021-01-27,53626
E12000002,North West,region,2021-01-26,40663
E12000002,North West,region,2021-01-25,55671
E12000002,North West,region,2021-01-24,26379
E12000002,North West,region,2021-01-23,15087
E12000002,North West,region,2021-01-22,35762
E12000002,North West,region,2021-01-21,34335
E12000002,North West,region,2021-01-20,33328
E12000002,North West,region,2021-01-19,34863
E12000002,North West,region,2021-01-18,46536
E12000002,North West,region,2021-01-17,17771
E12000002,North West,region,2021-01-16,15067
E12000002,North West,region,2021-01-15,30829
E12000002,North West,region,2021-01-14,29842
E12000002,North West,region,2021-01-13,27542
E12000002,North West,region,2021-01-12,29461
E12000002,North West,region,2021-01-11,35530
E12000002,North West,region,2021-01-10,16235
E12000002,North West,region,2021-01-09,15452
E12000002,North West,region,2021-01-08,23956
E12000002,North West,region,2021-01-07,23118
E12000002,North West,region,2021-01-06,20356
E12000002,North West,region,2021-01-05,22371
E12000002,North West,region,2021-01-04,27837
E12000002,North West,region,2021-01-03,17792
E12000002,North West,region,2021-01-02,15856
E12000002,North West,region,2021-01-01,916
E12000002,North West,region,2020-12-31,13950
E12000002,North West,region,2020-12-30,14820
E12000002,North West,region,2020-12-29,14745
E12000002,North West,region,2020-12-28,7610
E12000002,North West,region,2020-12-27,8016
E12000002,North West,region,2020-12-26,1440
E12000002,North West,region,2020-12-25,637
E12000002,North West,region,2020-12-24,18316
E12000002,North West,region,2020-12-23,24936
E12000002,North West,region,2020-12-22,18359
E12000002,North West,region,2020-12-21,14360
E12000002,North West,region,2020-12-20,9641
E12000002,North West,region,2020-12-19,9280
E12000002,North West,region,2020-12-18,13403
E12000002,North West,region,2020-12-17,9777
E12000002,North West,region,2020-12-16,8931
E12000002,North West,region,2020-12-15,6977
E12000002,North West,region,2020-12-14,7433
E12000002,North West,region,2020-12-13,4463
E12000002,North West,region,2020-12-12,5960
E12000002,North West,region,2020-12-11,10850
E12000002,North West,region,2020-12-10,8103
E12000002,North West,region,2020-12-09,9391
E12000002,North West,region,2020-12-08,8701
E12000002,North West,region,2020-12-07,7379
E12000002,North West,region,2020-12-06,4104
E12000002,North West,region,2020-12-05,5666
E12000002,North West,region,2020-12-04,8172
E12000002,North West,region,2020-12-03,5981
E12000002,North West,region,2020-12-02,5295
E12000002,North West,region,2020-12-01,7190
E12000002,North West,region,2020-11-30,6419
E12000002,North West,region,2020-11-29,5868
E12000002,North West,region,2020-11-28,5733
E12000002,North West,region,2020-11-27,8702
E12000002,North West,region,2020-11-26,7932
E12000002,North West,region,2020-11-25,8370
E12000002,North West,region,2020-11-24,7462
E12000002,North West,region,2020-11-23,11111
E12000002,North West,region,2020-11-22,5512
E12000002,North West,region,2020-11-21,6573
E12000002,North West,region,2020-11-20,7810
E12000002,North West,region,2020-11-19,7951
E12000002,North West,region,2020-11-18,7598
E12000002,North West,region,2020-11-17,9523
E12000002,North West,region,2020-11-16,9849
E12000002,North West,region,2020-11-15,5576
E12000002,North West,region,2020-11-14,6985
E12000002,North West,region,2020-11-13,9502
E12000002,North West,region,2020-11-12,10491
E12000002,North West,region,2020-11-11,12490
E12000002,North West,region,2020-11-10,12294
E12000002,North West,region,2020-11-09,9102
E12000002,North West,region,2020-11-08,6404
E12000002,North West,region,2020-11-07,7314
E12000002,North West,region,2020-11-06,4102
E12000002,North West,region,2020-11-05,7
E12000002,North West,region,2020-11-04,5
E12000002,North West,region,2020-11-03,2
E12000002,North West,region,2020-11-02,0
E12000002,North West,region,2020-11-01,0
E12000002,North West,region,2020-10-31,0
E12000002,North West,region,2020-10-30,3
E12000002,North West,region,2020-10-29,0
E12000002,North West,region,2020-10-28,0
E12000002,North West,region,2020-10-27,0
E12000002,North West,region,2020-10-26,1
E12000002,North West,region,2020-10-25,0
E12000002,North West,region,2020-10-24,0
E12000002,North West,region,2020-10-23,0
E12000002,North West,region,2020-10-22,2
E12000003,Yorkshire and The Humber,region,2021-10-03,50751
E12000003,Yorkshire and The Humber,region,2021-10-02,26819
E12000003,Yorkshire and The Humber,region,2021-10-01,36806
E12000003,Yorkshire and The Humber,region,2021-09-30,50222
